rowid,﻿artifactNumber,ObjectName,GeneralDescription,model,SerialNumber,Manufacturer,ManuCountry,ManuProvince,ManuCity,BeginDate,EndDate,date_qualifier,patent,NumberOfComponents,ArtifactFinish,ContextCanada,ContextFunction,ContextTechnical,group1,category1,subcategory1,group2,category2,subcategory2,group3,category3,subcategory3,material,Length,Width,Height,Thickness,Weight,Diameter,image,thumbnail,
64,1966.0062.001,Wagon undercarriage,WOOD/ METAL TIRES & PARTS,,137710,Adams Wagon Co. Ltd.,Canada,Ontario,Brantford,,,,,2,ORIGINAL FINISH REMOVED DURING RESTORATION - NOW PAINTED RED/ RACK - UNFINISHED WOOD/ REMNANTS OF GREEN PAINT ON TIRES,WAGON GEAR MADE BY CANADIAN MFR.  DISTRIBUTED BY CANADIAN COMPANY.,HORSE DRAWN VEHICLE OF TYPE USED ON FARM TO TRANSPORT MATERIALS  PEOPLE ETC.,EXAMPLE OF FACTORY MADE STANDARD WEIGHT WAGON GEAR.,Non-motorized Ground Transportation,Animal powered,Wheeled vehicles,,,,,,,wood;metal,316,198,300,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0062.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0062.001.aa.cs.thumb.png,
65,1966.0062.002,Tongue,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
66,1966.0063.001,Plate  licence,METAL,,107926,Unknown,Unknown,,,,,,,2,OBSCURED BY CORROSION,,,,Motorized Ground Transportation,Accessories,,,,,,,,metal,30.6,14.9,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0063.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0063.001.aa.cs.thumb.png,
67,1966.0063.002,Plate  licence,METAL,,BC370,Unknown,Unknown,,,,,,,2,PAINTED WHITE WITH BLACK LETTERING,,,,Motorized Ground Transportation,Accessories,,,,,,,,metal,30.6,14,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0063.002.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0063.002.aa.cs.thumb.png,
68,1966.0064.001,Plate  licence,METAL,,G5674,Unknown,Unknown,,,,,,,3,PAINTED CREAM COLOUR WITH RED LETTERING,,,,Motorized Ground Transportation,Accessories,,,,,,,,metal,30.5,15,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0064.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0064.001.aa.cs.thumb.png,
69,1966.0064.002,Plate  licence,METAL,,76613,Unknown,Unknown,,,,,,,3,PAINTED CREAM COLOUR WITH GREEN LETTERING,,,,Motorized Ground Transportation,Accessories,,,,,,,,metal,30.5,15,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0064.002.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0064.002.aa.cs.thumb.png,
70,1966.0064.003,Plate  licence,METAL,,76613,Unknown,Unknown,,,,,,,3,PAINTED CREAM COLOUR WITH GREEN LETTERING,,,,Motorized Ground Transportation,Accessories,,,,,,,,metal,30.5,15,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0064.003.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0064.003.aa.cs.thumb.png,
71,1966.0065.001,Plate  equipment number,BRASS,CN 3271,1480,Canadian Locomotive Co. Ltd.,Canada,Ontario,Kingston,1917,1957,between,,1,PAINTED RED GLOSS AROUND DESIGNATION,NO. PLATE FROM A LOCOMOTIVE BELONGING TO THE CANADIAN NATIONAL RAILWAY AND BUILT IN CANADA AT THE CANADIAN LOCOMOTIVE WORKS,USED  WHEN AFFIXED TO A LOCOMOTIVE  TO IDENTIFY THAT PARTICULAR LOCOMOTIVE FOR CN,,Railway Transportation,Miscellaneous,,,,,,,,metal->brass,42.5,28.2,1.4,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0065.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0065.001.aa.cs.thumb.png,
72,1966.0066.001,Plate  equipment number,BRASS,CN 1406,52601,Montreal Locomotive Works Ltd.,Canada,Qu√©bec,Montr√©al,1913,1961,between,,1,RED GLOSS PAINT ON FRONT AROUND DESIGNATION,NO. PLATE FROM A CANADIAN NATIONAL LOCOMOTIVE BUILT IN CANADA AT THE MLW PLANT IN MONTREAL,USED  WHEN AFFIXED TO THE LOCOMOTIVE  TO IDENTIFY THAT PARTICULAR LOCOMOTIVE FOR CN.,,Railway Transportation,Miscellaneous,,,,,,,,metal->brass,42.5,27.9,1.7,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0066.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0066.001.aa.cs.thumb.png,
73,1966.0067.001,Plate  equipment number,BRASS,CN 4201,60066,American Locomotive Co.,United States of America,New york,Dunkirk,1919,1957,between,,1,RED GLOSS PAINT BACKGROUND AROUND RAISED BRASS PRINTING,NO. PLATE FOR A CANADIAN NATIONAL LOCOMOTIVE,USED  WHEN AFFIXED TO A LOCOMOTIVE  TO IDENTIFY THAT PARTICULAR LOCOMOTIVE FOR CN.,,Railway Transportation,Miscellaneous,,,,,,,,metal->brass,41.9,27.5,1.4,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0067.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0067.001.aa.cs.thumb.png,
74,1966.0068.001,Cap  hub,Brass,COMET,,Unknown,Unknown,,,,,,,1,,Hub caps are collector's items.,Cover put on automobile wheels to enhance its aesthetic appearance or aerodynamism and to protect the wheel bolts from mud and dust.,Originally  hub caps date back to the horse-drawn era and afterwards to the first automobiles when wheels were made of wooden spokes connected to the center hub. The hub contained the wheel bearing  which was packed with grease. The hub cap was a small device used to cover the center hub to keep the dust out and the grease in. Eventually  car manufacturers replaced the wooden spokes with steel wire spokes in the 1920¬ís and 1930¬ís. As a result the hub cap evolved into a wheel cover  which is a large disc that covers most of the wheel. Wheel covers continue to serve a functional purpose but they have also become a decorative design feature of the wheel .,Motorized Ground Transportation,Automotive parts,Hubcaps,,,,,,,metal->brass,,9,3.6,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0068.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0068.001.aa.cs.thumb.png,
75,1966.0069.001,Airplane,these were the first all-metal stressed-skin aircraft to be built in Canada. The Delta used the same wing as the Gamma  had split flaps and a non-retractable undercarriage like its predecessors,Northrop Delta,CV183,Canadian Vickers Ltd.,Canada,Qu√©bec,Montr√©al,1938,,before,,1,,,,In 1935  when the RCAF wanted a high performance photographic aircraft  it considered the Northrop Gamma but instead settled on Northrop's transport version of the same aircraft  the Northrop Delta. Canadian Vickers was commissioned to build an initial four aircraft under license and these were the first all-metal stressed-skin aircraft to be built in Canada. The Delta used the same wing as the Gamma  had split flaps and a non-retractable undercarriage like its predecessors. The larger fuselage accommodated up to eight passengers. For RCAF use  the design was modified to accept three Fairchild A-3 cameras at the rear of the cabin. The cabin floor was strengthened to accept freight loads and a large upward opening freight door was installed on the port side. Two Deltas were armed with a defensive machine gun fitted in an open hatch in the roof. Protection from the slipstream was provided by a plexiglas fairing. This particular installation was not very satisfactory causing buffeting and a marked decrease in performance.,Aviation,Aircraft,,,,,,,,metal->aluminum;metal->steel;resin->rubber,9.8 M,14.6 M,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0069.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0069.001.aa.cs.thumb.png,
76,1966.0070.001,Propeller,metal,FAIREY,FR8065,Fairey Aviation Co. Ltd.,England,,Hayes,,,,,1,Painted black with yellow tips,,Aircraft propulsion,,Aviation,Aircraft parts,,,,,,,,metal,226,,,,20.7 kg,25.0 cm,http://source.techno-science.ca/artifacts-artefacts/images/1966.0070.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0070.001.aa.cs.thumb.png,
77,1966.0071.001,Propeller,METAL,CURTISS ELECTRIC C634S-C554,174066,Unknown,Unknown,,,,,,,1,,,,,Aviation,Aircraft parts,,,,,,,,metal,,,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0071.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0071.001.aa.cs.thumb.png,
78,1966.0072.001,Propeller,,HAMILTON STANDARD,15454,Hamilton Standard Propeller Div.  United Aircraft Corp.,United States of America,Connecticut,East hartford,,,,,1,,,,,Aviation,Aircraft parts,,,,,,,,,,,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0072.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0072.001.aa.cs.thumb.png,
79,1966.0073.001,Propeller,METAL,FAIREY,FR 747,Fairey Aviation Co. Ltd.,England,,Hayes,,,,,1,HUB CRACKED,,,,Aviation,Aircraft parts,,,,,,,,metal,212,,,,12.25 kg,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0073.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0073.001.aa.cs.thumb.png,
80,1966.0074.001,Propeller,WOOD/ FABRIC,GANO G99-180-100C,787,Gano Propeller Co.,United States of America,Texas,Fort worth,1920,,circa,,1,BLADES FABRIC COVERED,,Aircraft propulsion,,Aviation,Aircraft parts,,,,,,,,wood;fibre,245,20,15,,6.7 kg,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0074.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0074.001.aa.cs.thumb.png,
81,1966.0075.001,Propeller,,,82941,,,,,,,,,1,,,,,Aviation,Aircraft parts,,,,,,,,,,,,,,,,,
82,1966.0076.001,Propeller,WOOD,,,Unknown,Unknown,,,,,,,1,,,,,Aviation,Aircraft parts,,,,,,,,wood,102,,,,9.5 kg,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0076.001.aa.cons.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0076.001.aa.cons.thumb.png,
83,1966.0077.001,Propeller,WOOD,,,Unknown,Unknown,,,,,,,1,FEW CHIPS & SCRATCHES,,Aircraft propulsion,,Aviation,Aircraft parts,,,,,,,,wood,208,22.7,8.7,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0077.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0077.001.aa.cs.thumb.png,
84,1966.0078.001,Propeller,WOOD,JACUZZI,1993,Jacuzzi Bros. Ltd.,United States of America,California,Berkeley,,,,,1,Clear varnish,,Aircraft propulsion,,Aviation,Aircraft parts,,,,,,,,wood,244,,,,9.0 kg,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0078.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0078.001.aa.cs.thumb.png,
85,1966.0079.001,Propeller,WOOD/ METAL,JACUZZI,N2489,Jacuzzi Bros. Ltd.,United States of America,California,Berkeley,,,,,1,PAINTED BLACK/ HAS METAL TIPS/ SCRATCHED,,Aircraft propulsion,,Aviation,Aircraft parts,,,,,,,,wood;metal,270,,,,17.0 kg,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0079.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0079.001.aa.cs.thumb.png,
86,1966.0080.001,Propeller,WOOD,,,Unknown,Unknown,,,,,,,1,HAS HUB BOLTS,,,,Aviation,Aircraft parts,,,,,,,,wood,181,,,,17.5 kg,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0080.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0080.001.aa.cs.thumb.png,
87,1966.0081.001,Propeller,WOOD,,,Unknown,Unknown,,,,,,,1,varnished with fleck of white paint,,Aircraft propulsion,,Aviation,Aircraft parts,,,,,,,,wood,181,150,7.5,,3.5 kg,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0081.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0081.001.aa.cs.thumb.png,
88,1966.0083.001,Propeller,WOOD,,,National Aviation Museum,Canada,Ontario,Ottawa,,,,,1,HAS HUB BOLTS,,Aircraft propulsion,,Aviation,Aircraft parts,,,,,,,,wood,185,,,,3.3 kg,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0083.001.aa.cons.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0083.001.aa.cons.thumb.png,
89,1966.0084.001,Propeller,WOOD,,,National Aviation Museum,Canada,Ontario,Ottawa,,,,,1,ONE TIP BROKEN/ HAS HUB BOLTS,,Aircraft propulsion,,Aviation,Aircraft parts,,,,,,,,wood,180,,,,3.3 kg,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0084.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0084.001.aa.cs.thumb.png,
90,1966.0085.001,Propeller,,FALCON,N9195,Falcon,United States of America,New york,Jamestown,,,,,1,,,Aircraft propulsion,,Aviation,Aircraft parts,,,,,,,,,,,,,,,,,
91,1966.0086.001,Engine  airplane,,LIBERTY 12A,2001B,Lincoln Motor Co.,United States of America,Michigan,Detroit,1918,,,,1,,,,,Aviation,Motive power,,,,,,,,,,,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0086.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0086.001.aa.cs.thumb.png,
92,1966.0087.001,Engine  airplane,STEEL  ALUMINUM  RUBBER,CONTINENTAL,532367;532347,Continental Motors Corp.,United States of America,Michigan,Muskegon,,,,,1,,,AIRCRAFT POWERPLANT,ONE OF THE FIRST EXAMPLES OF LOW POWERED  SMALL GENERAL PURPOSE ENGINES AND ESTABLISH THE FLAT-4 AS ALMOST THE STANDARD TYPE FOR LIGHT AIRCRAFT,Aviation,Motive power,,,,,,,,metal->steel;metal->aluminum;resin->rubber,,,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0087.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0087.001.aa.cs.thumb.png,
93,1966.0088.001,Engine  airplane,,WRIGHT R3350,,Curtiss-Wright Corp.,United States of America,New jersey,Wood-ridge,,,,,1,,,,,Aviation,Motive power,,,,,,,,,,,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0088.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0088.001.aa.cs.thumb.png,
94,1966.0091.001,Engine  airplane,,Pratt & Whitney R985-AN-14B Wasp Junior,1623C,United Aircraft Corp.  Pratt & Whitney Aircraft Div.,United States of America,Connecticut,East hartford,,,,,1,,,,,Aviation,Motive power,,,,,,,,,,,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0091.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0091.001.aa.cs.thumb.png,
95,1966.0092.001,Engine  airplane,,CURTISS-WRIGHT R3350-32W,W-572965,Curtiss-Wright Corp.,United States of America,New jersey,Wood-ridge,,,,,1,,,,,Aviation,Motive power,,,,,,,,,,,,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0092.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0092.001.aa.cs.thumb.png,
96,1966.0093.001,Helmet  flying,HELMET: LEATHER EXTERIOR; CHAMOIS LINING; VELVET TRIM; METAL SNAPS & BUCKLES; RUBBER EARPIECE MOUNTINGS,A.M.22C-450/C,,Unknown,Unknown,,,,,,,2,BROWN PEBBLE-GRAINED EXTERIOR; YELLOW BAND PAINTED ACROSS FOREHEAD  CROWN & ON EARPIECE MOUNTINGS; BUFF-COLOURED INTERIOR; DARK BROWN VELVET BAND SEWN TO UPPER INSIDE EDGE; AND LINES FLAP UNDER CHIN STRAP BUCKLE./ CONDITION: FAIR TO GOOD. HELMET EXHIBITS SIGNS OF WEAR,,,EARLY PATTERN TYPE C INTERMEDIATE FLYING HELMET,Aviation,Clothing,Head gear,,,,,,,skin->leather;skin->chamois;fibre->velvet;metal->;synthetic->bakelite;resin->rubber,33,21,8,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0093.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0093.001.aa.cs.thumb.png,
97,1966.0093.002,Communications system,GOSPORT SYSTEM: BAKELITE MICROPHONE & PLUG CASING; METAL; RUBBER; LEATHER & FABRIC FITTINGS,,,NORTHERN ELECTRIC CO.,,,,,,,,2,BUFF-COLOURED WOVEN COTTON (?) COVERING ON CORD/ CONDITION: FAIR TO GOOD. GOSPORT SYSTEM EQUIPMENT EXHIBITS SIGNS OF WEAR,,,,,,,,,,,,,synthetic->bakelite;metal->;resin->rubber;skin->leather;fibre,173,24,3.5,,,,,,
98,1966.0094.001,Helmet  flying,GABARDINE CLOTH/ FLEECE LINING/ LEATHER/ METAL,A-9,,Unknown,United States of America,,,1940,,after,,1,DRAB OLIVE RIBBED HELMET/ BROWN LEATHER FITTINGS/ NATURAL BUFF-COLOURED FLEECE/ CONDITION: GOOD  SPOILED: REQUIRES CLEANING SOME SIGNS OF WEAR  BUT STRUCTURALLY SOUND OVERALL,,,,Aviation,Clothing,Head gear,,,,,,,fibre->gabardine;skin->sheep;skin->leather;metal,43,23,8.5,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0094.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0094.001.aa.cs.thumb.png,
99,1966.0095.001,Helmet  flying,LEATHER HELMET & CHINSTRAP/ DOESKIN LINING/ RUBBER KAPOK-FILLED EARPHONE MOUNTINGS/ METAL SNAPS & BUCKLE,A-9,,SELBY SHOE CO.,United States of America,,,1942,,after,,1,DARK BROWN CAPE LEATHER EXTERIOR/ BUFF-COLOURED LININGS/ BLACK EARPHONE MOUNTINGS,,,,Aviation,Clothing,Head gear,,,,,,,skin->leather;resin->rubber;metal,37,23,6,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0095.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0095.001.aa.cs.thumb.png,
100,1966.0096.001,Helmet  flying,LEATHER EXTERIOR/ CHAMOIS LINING/ METAL EARPHONE FIXTURE  SNAPS & BUCKLES,,,MUIR CAP & REGALIA LTD.,Canada,Ontario,Toronto,1930,1939,between,,1,MEDIUM BROWN LEATHER/ BUFF-COLOURED LINING/ CONDITION: FAIR. WORN AND SOILED. MUCH CORROSION ON ALL METAL AREAS. NUMEROUS SMALL TEARS AND ABRASIONS OF INTERIOR & EXTERIOR SURFACES. STITCHING OF LINING TO LEATHER SHELL UNRAVELLED ALONG LOWER NECKLINE  AND ON CHINSTRAP.,,,,Aviation,Clothing,Head gear,,,,,,,skin->leather;skin->chamois;metal,41,24,7,,,,http://source.techno-science.ca/artifacts-artefacts/images/1966.0096.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0096.001.aa.cs.thumb.png,
